사고내용,가해자성별,가해자연령,가해자차종,피해자신체상해정도,사고유형,기상상태,사망자수,발생시각
경상,남,73세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-12-21 04시
중상,여,49세,승용차,중상,차대차 - 기타,맑음,0,2018-05-21 15시
경상,남,85세,승용차,경상,차대차 - 측면충돌,맑음,1,2018-03-22 13시
중상,남,61세,승용차,중상,차대차 - 측면충돌,맑음,1,2018-09-18 09시
중상,여,45세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-05-28 20시
경상,남,51세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-06-10 01시
중상,여,60세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-10-28 10시
경상,남,65세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-03-07 05시
중상,여,41세,승용차,중상,차대차 - 기타,맑음,0,2018-08-30 08시
경상,여,25세,승용차,경상,차대차 - 기타,맑음,0,2018-10-12 16시
중상,남,49세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-12-02 18시
중상,남,59세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-01-14 01시
경상,남,52세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-04-17 21시
경상,남,74세,승용차,경상,차대차 - 기타,맑음,0,2018-07-21 14시
중상,여,44세,승용차,중상,차대차 - 기타,맑음,0,2018-02-26 19시
경상,남,34세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-03-23 21시
경상,여,49세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-05-31 18시
중상,남,43세,승용차,중상,차대차 - 측면충돌,맑음,0,2018-10-08 11시
경상,여,60세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-10-22 09시
경상,남,44세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-03-13 21시
