식품명,에너지(kcal),영양성분함량기준량,수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),업체명
라면_한살림우리밀라면,468,100g,0.0,11.82,20.0,0.0,60.0,2.73,0.0,0.0,0.0,0.0,0.0,1455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,"(주)새롬식품,해당없음,해당없음"
라면_우육탕큰사발면,452,100g,0.0,8.7,16.52,0.0,66.96,4.35,0.0,0.0,0.0,0.0,0.0,1383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,8.7,0.0,"(주)농심,해당없음,해당없음"
라면_손수때릴타면,417,100g,0.0,7.5,12.5,0.0,67.5,3.33,0.0,0.0,0.0,0.0,0.0,1442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,"삼양식품(주),해당없음,해당없음"
라면_우리쌀로만든짬뽕라면,443,100g,0.0,13.21,16.04,0.0,62.26,5.66,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,6.6,0.0,"(주)새롬식품,해당없음,해당없음"
라면_튀김우동컵,508,100g,0.0,6.45,24.19,0.0,66.13,6.45,0.0,0.0,0.0,0.0,0.0,1935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,0.0,"(주)농심,해당없음,해당없음"
라면_송송썰린김치가푸짐한김치찌개라면,433,100g,0.0,9.52,15.24,0.0,64.76,4.76,0.0,0.0,0.0,0.0,0.0,1743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_컵삼양라면매운맛,423,100g,0.0,7.69,15.38,0.0,63.08,3.08,0.0,0.0,0.0,0.0,0.0,1877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,"삼양식품(주),해당없음,해당없음"
라면_가락닭고기맛라면,433,100g,0.0,10.33,16.67,0.0,62.5,5.83,0.0,0.0,0.0,0.0,0.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.03,"주식회사두런,해당없음,해당없음"
라면_앵그리RtA큰사발면,452,100g,0.0,7.89,17.54,0.0,65.79,5.26,0.0,0.0,0.0,0.0,0.0,1509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,8.77,0.0,"(주)농심,해당없음,해당없음"
라면_육개장라면,444,100g,0.0,9.48,15.52,0.0,66.38,1.72,0.0,0.0,0.0,0.0,0.0,1534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,7.76,0.0,"(주)농심,해당없음,해당없음"
