인허가일자,영업상태명,폐업일자,소재지전체주소,사업장명,업태구분명,시설총규모
2010-04-21,폐업,2013-07-01,경기도 용인시 기흥구 동백동 598-4번지 유타운상가 108호,맘스터치치킨,통닭(치킨),35.88
2006-08-21,폐업,2021-11-17,경기도 화성시 향남읍 장짐리 216-4 대준빌딘 B동 1층,페리카나,통닭(치킨),121.5
2012-05-01,폐업,2015-01-30,경기도 안양시 만안구 안양동 873-162번지 지상1층,페리카나치킨,통닭(치킨),31.32
2007-11-23,폐업,2023-11-06,경기도 화성시 향남읍 행정리 419-20,네네치킨,통닭(치킨),78.13
2004-02-10,폐업,2011-06-20,경기도 평택시 비전동 790-2번지,교촌치킨비전2호점,통닭(치킨),45.43
2020-02-12,폐업,2022-09-15,"경기도 화성시 오산동 1020 동탄역 린스트라우스판매시설 1층 1045,1046호",60계치킨 경기동탄역점,호프/통닭,99.32
2000-10-16,폐업,2021-05-21,경기도 수원시 팔달구 우만동 95-1,네네치킨,통닭(치킨),25.0
2019-12-02,폐업,2022-07-22,경기도 화성시 기산동 476 에스케이뷰파크2차 107호,자담치킨(기산점),호프/통닭,41.0
1993-01-20,폐업,2006-01-10,경기도 평택시 비전동 486-18번지,페리카나가야체인점,통닭(치킨),31.6
2001-08-20,폐업,2010-04-21,경기도 안양시 만안구 박달동 68-33번지 1층,교촌치킨,기타,19.24
2012-11-26,폐업,2023-11-15,"경기도 용인시 수지구 성복동 129-1 플러스클리닉수지센터 103,104호",맘스터치 용인성복점,기타,77.22
2013-09-17,폐업,2023-11-29,경기도 용인시 처인구 백암면 백암리 447-10 1층,네네치킨,호프/통닭,66.32
1994-11-15,폐업,2003-12-26,경기도 평택시 신장동 274-160번지,페리카나신장,통닭(치킨),30.36
1989-05-29,폐업,2004-06-28,경기도 평택시 비전동 760-5번지,페리카나,통닭(치킨),37.62
2017-02-07,폐업,2022-05-03,"경기도 용인시 기흥구 보정동 1265-2 센타프라자 103,104호",맘스터치 용인보정점,기타,95.16
1995-11-30,폐업,2008-01-22,경기도 평택시 서정동 818-8번지,페리카나서정1체인점,통닭(치킨),25.2
1996-01-16,폐업,2012-01-16,경기도 평택시 평택동 148-1번지,페리카나원평지점,통닭(치킨),32.34
2013-08-09,폐업,2019-11-08,경기도 용인시 기흥구 보정동 1197-3번지 죽전엘림프라자2 101호,노랑통닭,호프/통닭,61.41
2004-11-08,폐업,2019-03-14,경기도 평택시 안중읍 현화리 301번지,네네치킨안중점,통닭(치킨),40.95
2013-07-01,폐업,2015-01-28,경기도 용인시 기흥구 동백동 598-4번지 유타운상가 108호,맘스터치,통닭(치킨),35.88
1988-08-12,폐업,2021-02-08,"경기도 평택시 합정동 773-1 ,2",합정페리카나,통닭(치킨),37.8
1993-02-16,폐업,2007-03-26,경기도 평택시 지산동 1089번지 현대상가119호,페리카나치킨지산점,통닭(치킨),17.88
2003-02-25,폐업,2010-05-10,경기도 평택시 팽성읍 객사리 126-3번지,맘스터치팽성점,패스트푸드,28.09
1995-03-31,폐업,2003-02-07,경기도 평택시 지산동 642-3번지,페리카나치킨2분점,통닭(치킨),30.1
2018-11-15,폐업,2022-12-27,경기도 화성시 오산동 969-4 신유메디프라자 109호,노랑통닭 동탄역점,호프/통닭,60.97
1989-02-24,폐업,2002-11-22,경기도 평택시 안중읍 안중리 282-11번지,페리카나치킨안중분점,패스트푸드,31.5
1992-04-16,폐업,2008-06-12,경기도 수원시 팔달구 지동 123-91,페리카나치킨(체인점),통닭(치킨),16.8
2018-08-20,폐업,2023-03-07,경기도 화성시 병점동 844-1 씨네샤르망 A동 101호,60계치킨,호프/통닭,42.12
1988-12-08,폐업,2014-07-23,경기도 수원시 팔달구 인계동 956-9,페리카나치킨,통닭(치킨),32.47
2017-05-30,폐업,2023-08-18,경기도 의정부시 민락동 756-7 한라비발디아파트 상가동,자담치킨 민락점,호프/통닭,24.4
