인허가일자,폐업일자,상세영업상태명,소재지전체주소,사업장명
1998-09-21,,영업중,충청남도 천안시 서북구 쌍용동 1149 쌍봉빌딩 4층,MTO 피트니스 쌍용점 PT 24시
1999-02-13,,영업중,충청남도 천안시 서북구 쌍용동 1490,라이언스짐
2017-07-06,,영업중,충청남도 홍성군 홍성읍 대교리 420-10 2층,헬스킹
2018-03-06,,영업중,충청남도 홍성군 홍성읍 오관리 457-5,바디스타 짐
2015-07-31,,영업중,충청남도 천안시 서북구 직산읍 모시리 206-13번지 우성아파트,우성헬스
2015-08-05,,영업중,충청남도 천안시 서북구 차암동 435 천안비즈타워,웰컴짐
2015-09-25,,영업중,충청남도 천안시 서북구 백석동 584번지 외 45필지,천안시시설관리공단 한들문화센터 체력단련장
2015-11-12,,영업중,충청남도 천안시 동남구 신방동 886-1번지 지하1층,더블엑스 짐
2015-12-15,,영업중,충청남도 천안시 동남구 청당동 447번지 201호,라온짐
2015-12-24,,영업중,충청남도 천안시 서북구 두정동 1499,힙메이커짐
2015-12-31,,영업중,충청남도 천안시 서북구 백석동 150-2번지 정석프라자 603-605호,수퍼바디 짐
1999-09-13,,영업중,충청남도 천안시 서북구 백석동 194-1 현대아파트 상가 10~12호,엘디W센타
2000-05-09,,영업중,충청남도 천안시 동남구 신부동 320-37번지,태조헬스클럽
2014-10-06,,영업중,충청남도 천안시 서북구 백석동 946번지 201-202호,파워 짐
2015-01-15,,영업중,충청남도 천안시 서북구 두정동 898번지 3층 301호,타이거 짐
2015-03-19,,영업중,충청남도 천안시 동남구 청수동 349번지,커브스 청수클럽
2015-03-31,,영업중,충청남도 천안시 서북구 두정동 935-1 202호,와이짐
2015-04-20,,영업중,충청남도 천안시 동남구 청당동 590-702번지,바디 PT
2015-04-23,,영업중,충청남도 천안시 동남구 신방동 2-15번지 4층,바디디자이너
2015-04-24,,영업중,충청남도 천안시 서북구 성정동 721-8 외1필지,다이어트 컨테이너
2001-11-13,,영업중,충청남도 천안시 동남구 신부동 462-13번지,헬스닷컴
2001-11-27,,영업중,충청남도 천안시 동남구 목천읍 신계리 422-13 101호,동천안헬스크럽
2002-03-25,,영업중,충청남도 천안시 동남구 신부동 115-66번지,홍익 휘트니스
2002-02-23,,영업중,충청남도 천안시 서북구 성정동 725-7,그린헬스타운
2002-01-10,,영업중,충청남도 천안시 동남구 신방동 878 학산빌딩,월드짐
2002-10-16,,영업중,충청남도 천안시 동남구 신부동 462-12번지 3층,남도헬스타운
2002-08-07,,영업중,충청남도 천안시 동남구 청수동 206-2 다솜빌딩 3층,청수짐
2002-01-10,,영업중,충청남도 천안시 서북구 성거읍 천흥리 422-6,성거헬스에어로빅
2016-04-15,,영업중,충청남도 천안시 서북구 백석동 9-2,스포데이
2016-05-04,,영업중,충청남도 천안시 동남구 신방동 920번지 초원아파트 상가 1동 305호,코리아 스포츠센터
2000-01-19,,영업중,충청남도 천안시 서북구 쌍용동 1175번지,영헬스클럽
2001-11-27,,영업중,충청남도 천안시 동남구 원성동 546-1번지 천안빌딩 6층 603~605,세계로헬스
2016-05-19,,영업중,충청남도 천안시 동남구 구성동 297-8번지 2층,다짐
2002-12-11,,영업중,충청남도 천안시 동남구 목천읍 신계리 422번지 동우@상가504호,동우헬스클럽
2002-09-19,,영업중,충청남도 천안시 동남구 목천읍 삼성리 9-9,JM휘트니스
2007-09-19,,영업중,충청남도 천안시 서북구 쌍용동 1561번지 청솔@상가 지하,헬스피아
2008-10-21,,영업중,충청남도 천안시 서북구 두정동 1942 2층,더 라이프 휘트니스
2009-10-12,,영업중,충청남도 천안시 동남구 봉명동 217-5번지 외 1필지(지층),순천향대학교 휴트니스
2003-06-20,,영업중,충청남도 천안시 서북구 직산읍 삼은리 72-46번지,고릴라휘트니스
2003-10-11,,영업중,충청남도 천안시 동남구 영성동 102번지,제일헬스
2003-02-19,,영업중,충청남도 천안시 서북구 두정동 975 2층,헬스보이짐
2009-11-11,,영업중,충청남도 천안시 서북구 쌍용동 1957번지 새아스프라자 101호,커브스 쌍용클럽
2009-11-24,,영업중,충청남도 천안시 서북구 두정동 1566번지 두정메디칼 2층,두정24시휘트니스클럽
2009-12-08,,영업중,충청남도 천안시 동남구 신부동 630,라이노짐
2010-02-09,,영업중,충청남도 천안시 서북구 성정동 647-6번지 4층,연세휘트니스
2007-01-16,,영업중,충청남도 홍성군 홍성읍 대교리 626,서울스포렉스
1990-02-28,,영업중,충청남도 천안시 동남구 신부동 474-4번지,코리아헬스클럽
2014-05-28,,영업중,충청남도 천안시 동남구 안서동 산 56-9,람보짐
2004-02-09,,영업중,충청남도 천안시 서북구 백석동 251번지 일원,천안종합운동장 헬스클럽
2010-11-02,,영업중,서울특별시 광진구 구의동 203-7번지,초콜렛 휘트니스(무단폐업)
2010-11-19,,영업중,서울특별시 광진구 자양동 663-21번지,웰플러스
2010-11-24,,영업중,서울특별시 광진구 중곡동 79-9번지 5층,코엑스짐 중곡점
2011-12-02,,영업중,서울특별시 광진구 구의동 214-6 강변리치타워 지하1층,심바 휘트니스
2011-12-05,,영업중,서울특별시 광진구 중곡동 164-1번지 3층,초콜릿 휘트니스
2002-10-17,,영업중,서울특별시 금천구 시흥동 903-12,골드헬스
2003-06-16,,영업중,서울특별시 금천구 독산동 297-1,그린헬스
2013-12-05,,영업중,서울특별시 금천구 독산동 1031-9 림스빌딩 지하동 101호,슬림한 바디
2014-11-05,,영업중,서울특별시 금천구 가산동 543-1번지,건강을담다 season2
2015-04-21,,영업중,서울특별시 금천구 시흥동 904-7 서우빌딩,슬림한바디 시흥점
2015-06-15,,영업중,서울특별시 금천구 가산동 140-36번지 B201호,벽계수 스파
1995-10-16,,영업중,서울특별시 광진구 중곡동 639-2번지,삼성남녀헬스센타
1996-03-26,,영업중,서울특별시 광진구 자양동 680-72번지,영광헬스피아
1996-04-02,,영업중,서울특별시 광진구 군자동 349-1번지,역사헬스
1996-04-10,,영업중,서울특별시 광진구 구의동 222-1번지,멜론짐
1996-08-26,,영업중,서울특별시 광진구 중곡동 173-7번지,파워헬스
2016-03-18,,영업중,서울특별시 금천구 가산동 371-17,스포플렉스(가산점)
2012-03-27,,영업중,서울특별시 광진구 자양동 851-19번지,세븐짐 휘트니스
2012-04-25,,영업중,서울특별시 광진구 군자동 478-5번지 지하1층,바디퍼포먼스 짐
2012-12-10,,영업중,서울특별시 광진구 구의동 201-8 진넥스 베르디엠 지하1층,아크로짐 구의점
2013-10-01,,영업중,서울특별시 광진구 구의동 199-18번지 삼성쉐르빌 101동 지하1층 114호(113호일부 포함),비터스윗코리아
2013-10-08,,영업중,서울특별시 광진구 구의동 200-15번지 지하1층,제이 퍼스널 트레이닝 스튜디오
1993-07-07,,영업중,서울특별시 광진구 화양동 10-1번지,역발산센터
1994-08-01,,영업중,서울특별시 광진구 자양동 216-9 세화빌딩 5층동,휘트니스피플우먼 구의점
1994-12-01,,영업중,서울특별시 광진구 자양동 666-4번지,광운헬스
2018-01-17,,영업중,서울특별시 광진구 자양동 227-7 지하1층 B100-1호,주식회사 헬스보이컴퍼니
2018-01-19,,영업중,서울특별시 광진구 광장동 244-28번지 석원빌딩,바디케어짐
2018-03-06,,영업중,서울특별시 광진구 광장동 445-5 대한제지(주) 사옥 지하2층,피트니스 아레나
2000-05-23,,영업중,서울특별시 금천구 시흥동 837-38번지,미진헬스크럽
2000-05-31,,영업중,서울특별시 금천구 독산동 178-28,신협헬스장
2006-03-30,,영업중,서울특별시 금천구 시흥동 993-3,G.X휘트니스센터
2005-07-14,,영업중,서울특별시 광진구 중곡동 82-2번지 동화빌딩  5층,JM휘트니스
2005-10-24,,영업중,"서울특별시 광진구 중곡동 579-1번지 동방프라자 지하1층 101호, 102호",광명 휘트니스
2005-11-08,,영업중,서울특별시 광진구 중곡동 113-7번지 2층,드림헬스클럽
2006-01-23,,영업중,"서울특별시 광진구 구의동 54-3번지 5층,6층",휴먼짐
2006-07-31,,영업중,서울특별시 광진구 광장동 318번지,광진구민체육센터
2001-05-09,,영업중,서울특별시 광진구 중곡동 579-1번지 2층203호,동방헬스
2001-05-16,,영업중,서울특별시 광진구 중곡동 93-2 (4층),바디메이트 짐
2001-08-23,,영업중,서울특별시 광진구 중곡동 78-3번지 2층,파워존
2007-03-29,,영업중,서울특별시 금천구 시흥동 5-13,뉴금천 휘트니스3
2007-11-08,,영업중,서울특별시 금천구 독산동 1093-4 한신아파트,퍼펙트짐
2009-07-23,,영업중,서울특별시 금천구 시흥동 890-4 지하1층,디지피트니스(DGFIT)&골프
2009-11-04,,영업중,"서울특별시 금천구 독산동 1041-35번지 3,4층",거봉 휘트니스
2007-12-26,,영업중,서울특별시 광진구 자양동 636-10,타운케이 휘트니스
2008-01-02,,영업중,서울특별시 광진구 구의동 243-66,이루어짐 구의점
2008-02-25,,영업중,서울특별시 광진구 화양동 6-2번지 연한빌딩 6층,맥스토탈휘트니스
2008-05-26,,영업중,서울특별시 광진구 군자동 355번지,SAP
2008-06-10,,영업중,서울특별시 광진구 화양동 21-2번지 이수브라운스톤2층,시너지휘트니스
2009-04-24,,영업중,서울특별시 광진구 군자동 27-3번지 지하,휘트니스파크
1999-04-23,,영업중,서울특별시 광진구 군자동 103,머슬 H 휘트니스
1999-07-15,,영업중,서울특별시 광진구 자양동 845-12번지 2층,상록헬스크리닉
1999-07-15,,영업중,서울특별시 광진구 군자동 65-3번지,스포츠클리닉밸런스
1999-10-02,,영업중,서울특별시 광진구 구의동 246-15번지,메트로헬스
2000-04-04,,영업중,서울특별시 광진구 중곡동 18-71번지,스타일휘트니스클럽(무단폐업)
2001-01-16,,영업중,서울특별시 금천구 독산동 962-47,아메리칸휘트니스
2007-03-27,,영업중,"서울특별시 광진구 중곡동 230-12 3, 4층",머슬킹
2007-04-25,,영업중,서울특별시 광진구 자양동 606-14번지 지하1층,아름다운휘트니스
2007-07-04,,영업중,서울특별시 광진구 화양동 527번지 KCC파크타운B1 비04~06호,제이피트휘트니스
2007-09-28,,영업중,서울특별시 광진구 능동 256-3번지 지하1층,휘트니스 트리
2006-04-06,,영업중,서울특별시 금천구 가산동 60-19 SJ 테크노빌 B127호,헬스보이짐&골프인 가산역점
2006-10-24,,영업중,서울특별시 금천구 독산동 1037-57,퍼플짐앤요가
2007-01-18,,영업중,서울특별시 금천구 독산동 291-5번지 시티렉스 3층,비타민 휘트니스
2007-01-24,,영업중,서울특별시 금천구 독산동 951-4 현경빌딩,주식회사 더랩스휘트니스 독산
2002-09-06,,영업중,서울특별시 광진구 군자동 360-19번지,테크노휘트니스클럽
2000-05-12,,영업중,서울특별시 광진구 군자동 346-23 지장빌딩5층,시티짐 군자
2000-07-18,,영업중,서울특별시 광진구 구의동 244-15번지,세종 남여헬스(무단폐업)
2000-08-04,,영업중,서울특별시 광진구 구의동 254-30번지,화인헬스
2015-02-09,,영업중,서울특별시 광진구 화양동 225번지,몸가짐 퍼스널트레이닝
2015-02-24,,영업중,서울특별시 광진구 구의동,Choi's Body Balance
2015-06-19,,영업중,서울특별시 광진구 자양동 652-33번지,NX PT STUDIO
2015-06-25,,영업중,서울특별시 광진구 능동 283-15번지,2MR 휘트니스
2015-07-30,,영업중,서울특별시 광진구 화양동 132-6번지,휘트니스 에이치투
2015-07-30,,영업중,서울특별시 광진구 화양동 113-1,휘트니스베이 24시 건대점
2015-11-19,,영업중,서울특별시 광진구 구의동 199-6번지,노경우 퍼스널 트레이닝
2015-12-21,,영업중,서울특별시 광진구 광장동 250번지,BODY119(바디119)
2015-12-29,,영업중,서울특별시 광진구 자양동 580-9,워라밸피트니스 자양점
2016-04-07,,영업중,서울특별시 광진구 구의동 245-26번지,제이바디웍스
2012-07-17,,영업중,서울특별시 금천구 시흥동 912-20 에벤에설프라자 402호,시흥점 스포애니 (주)케이디스포츠
2013-01-16,,영업중,서울특별시 금천구 가산동 327-29번지,RSM 휘트니스
2013-01-18,,영업중,서울특별시 금천구 가산동 543-1번지,움 Gym
2013-04-12,,영업중,서울특별시 금천구 독산동 1012-15,바디채널핏 독산점
2013-11-14,,영업중,서울특별시 금천구 독산동 711-2번지 금천현대아파트,에스바디짐
2009-05-21,,영업중,서울특별시 광진구 자양동 553-376 원우상가,라이크핏
2009-08-04,,영업중,서울특별시 광진구 구의동 200-20번지 3층,커브스구의클럽
2009-09-15,,영업중,서울특별시 광진구 구의동 593-15번지 5층,마크짐 휘트니스 - 강변역점
2010-05-12,,영업중,서울특별시 광진구 군자동 373-8번지 3층,원모어 퍼스널트레이닝 스튜디오
2005-08-02,,영업중,서울특별시 금천구 독산동 901-7 지오프라자 6층동,난곡점 스포애니 (주)케이디스포츠
2005-09-29,,영업중,서울특별시 금천구 시흥동 896-15,쉬리 여성전용 헬스클럽
2005-10-10,,영업중,서울특별시 금천구 가산동 150-2 신평대일타운 6층,렛츠핏 가산점
2005-10-21,,영업중,서울특별시 금천구 시흥동 852-55,브이
2003-03-11,,영업중,서울특별시 광진구 구의동 219-5번지 (4층),프라임헬스클럽
2003-03-29,,영업중,서울특별시 광진구 화양동 114-3번지 (4층),월드스포츠센터
2003-08-26,,영업중,서울특별시 광진구 구의동 31-23번지,아차산헬스클럽
1997-11-03,,영업중,서울특별시 광진구 군자동 466-18번지 (3층),군자휘트니스 크럽
1999-01-14,,영업중,서울특별시 광진구 광장동 425-2번지 지층,순수여성헬스
2003-10-17,,영업중,서울특별시 광진구 구의동 249-21번지 연이빌딩 2층 201호,파나마 헬스클럽
2003-11-06,,영업중,"서울특별시 광진구 광장동 484 지하1,2층",비스코헬스케어
2003-12-23,,영업중,서울특별시 광진구 자양동 44-2번지 2층,광진휘트니스
2003-04-17,,영업중,서울특별시 광진구 중곡동 173-2번지,대원헬스
2004-02-17,,영업중,서울특별시 광진구 군자동 64-1번지 2층,바디앤소울
2004-05-13,,영업중,서울특별시 광진구 자양동 680-68,웨스트짐
2004-06-08,,영업중,서울특별시 광진구 광장동 114 외2필지 지하1층,리버사이드 스포츠
1999-04-20,,영업중,서울특별시 광진구 중곡동 28-7번지,용곡체육관
1989-10-23,,영업중,서울특별시 광진구 자양동 610-9번지,유진헬스클럽
1989-12-20,,영업중,서울특별시 광진구 자양동 623-23번지,서울헬스
1998-11-28,,영업중,서울특별시 금천구 가산동 151-30,중앙헬스클럽
2016-12-21,,영업중,서울특별시 광진구 중곡동 341-5,몸가짐 PT&필라테스
2017-04-06,,영업중,서울특별시 광진구 구의동 611 구의현대2단지 상가동 304호,드바디샵
2017-05-10,,영업중,서울특별시 광진구 구의동 202-3번지 지층,크로스핏 팀앤디
2018-04-02,,영업중,서울특별시 광진구 화양동 21-1번지 2층 202호,조승호 아톰 휘트니스 PT
2018-05-10,,영업중,서울특별시 광진구 구의동 76-1 그랜드파크 오피스텔,Youn-A PT샵
1990-01-03,,영업중,서울특별시 광진구 군자동 361-27번지,동부육체미
2017-06-04,,영업중,서울특별시 광진구 화양동 21-22번지 지층,휘트니스우먼
