ID,price
301,16750
302,12995
303,11498
304,18495
305,13498
306,11950
307,4965
308,12890
309,10698
310,14788
312,23495
313,17750
314,7985
316,13298
317,7895
319,16000
320,9000
321,31269
323,4980
324,14710
325,7658
327,9500
328,11780
329,15620
330,17500
331,22990
332,11298
333,2500
334,16999
335,22500
337,7560
338,7798
339,6795
340,26995
341,12800
342,7180
343,12770
344,7999
346,17990
347,5498
348,6498
349,25715
351,7695
352,12999
353,12295
354,12954
355,8399
356,10995
357,10991
359,19770
360,15700
361,10575
362,14995
363,13995
365,15499
366,10498
367,12150
370,17995
371,15594
372,13485
373,22591
374,7990
377,10442
378,7390
379,15498
380,8590
381,16500
382,10220
383,13997
384,15990
386,7495
387,26995
388,7490
390,8998
392,26000
393,3885
394,8995
396,6890
399,17495
400,6500
401,13970
402,4871
403,13495
404,17400
406,16990
407,17500
408,8470
409,14298
411,9499
412,16998
413,21299
414,12990
415,12250
416,11995
417,20750
418,19981
420,14900
421,8990
422,3995
423,25995
424,5999
425,10998
426,11500
427,11799
428,16991
429,28995
431,10465
432,8500
433,10990
434,13960
435,11000
436,10399
437,7995
438,18495
439,8495
440,14998
441,9650
442,12329
443,17749
444,13498
445,12698
446,16500
447,15499
448,7995
449,14499
450,13250
451,11650
452,8298
454,7261
455,18395
456,14000
458,9990
459,4498
461,8590
463,9499
464,8988
465,10395
466,26990
467,22750
468,23290
469,6795
471,6999
472,7900
473,12999
474,7498
475,13498
476,10998
477,23000
478,10690
479,6130
480,26995
485,14995
486,11790
487,8499
488,16990
489,14500
490,11030
491,8490
492,6799
493,8495
494,12299
495,10491
496,13000
497,11700
498,7995
499,7799
500,11490
501,21995
503,6295
504,12498
506,21849
507,15190
509,6485
510,9590
511,11495
512,35995
513,9499
514,8250
516,6490
517,23995
518,7470
519,6999
520,19099
521,11499
522,16595
523,9700
524,10590
525,8000
526,7250
527,14550
528,8991
529,6298
530,7995
531,6995
532,9499
533,15998
534,15995
535,19000
536,15989
538,23000
540,19500
541,13100
542,13699
544,15998
545,10350
546,9525
547,15780
548,5750
549,14100
550,18992
551,8991
552,23495
553,16298
554,1750
556,14890
559,13500
561,13491
562,6498
563,13999
564,16800
565,6999
566,6498
567,16000
569,13995
570,19689
572,12549
575,8000
577,19897
578,8290
581,5498
583,16990
585,6498
586,14490
587,32000
588,11799
590,5992
593,9495
595,15498
596,5995
597,7690
599,14250
600,12495
602,25180
603,7489
607,12495
608,9190
609,12490
610,7500
611,9299
612,13700
613,27800
614,19483
615,6799
616,10700
617,14985
618,6000
619,8750
621,16000
624,10498
625,13498
626,15798
627,18495
628,13250
629,7998
630,11498
631,19490
632,10998
633,10970
635,8789
636,15000
637,20995
638,16400
640,9995
643,21490
644,16999
645,7298
646,14500
648,10995
649,6890
650,6990
651,10500
652,7695
653,3095
654,12991
655,9190
656,8975
658,5644
660,17490
661,9995
662,7291
663,8250
665,8798
666,5495
667,7795
668,9995
669,15995
670,9499
671,31680
673,9499
674,15995
675,13100
677,8298
678,6495
679,17490
680,7398
681,18498
683,7495
684,15999
685,14749
686,16990
687,15998
688,14498
689,8399
690,11495
691,15498
692,5995
694,12996
695,19995
697,6989
698,15498
699,4044
700,13000
701,12490
702,12498
703,33695
705,23991
706,22680
707,8499
708,13995
709,9690
710,8000
711,34998
712,12490
714,13200
715,16349
716,9990
717,10350
718,17650
719,16499
720,7290
722,10000
723,3795
724,10500
